FILE NAME,label
Normal-7089,1
Normal-6938,1
COVID-3170,0
Lung_Opacity-2837,3
Lung_Opacity-1485,3
Normal-4073,1
Lung_Opacity-1230,3
Normal-5324,1
Normal-2245,1
Normal-5334,1
COVID-302,0
Normal-7064,1
Normal-4286,1
Normal-2109,1
COVID-2342,0
Normal-5198,1
Normal-8741,1
Normal-9273,1
Normal-2342,1
Normal-7963,1
Normal-4575,1
Lung_Opacity-3622,3
COVID-1590,0
Normal-8302,1
COVID-1343,0
Normal-417,1
Lung_Opacity-5441,3
COVID-1779,0
COVID-124,0
Normal-2414,1
Normal-9291,1
Normal-2349,1
Normal-7728,1
Normal-6491,1
COVID-2722,0
COVID-1335,0
COVID-1716,0
Normal-6652,1
Normal-9077,1
Normal-5483,1
COVID-3381,0
Lung_Opacity-5187,3
COVID-539,0
Normal-9572,1
Lung_Opacity-450,3
Normal-1293,1
Lung_Opacity-3258,3
Normal-5428,1
Lung_Opacity-128,3
Normal-8743,1
COVID-1990,0
Normal-8480,1
Normal-8522,1
Lung_Opacity-1057,3
Normal-1606,1
Normal-1455,1
Normal-341,1
COVID-2306,0
Normal-2771,1
COVID-2234,0
COVID-1438,0
Normal-2213,1
Lung_Opacity-3669,3
Normal-9206,1
COVID-2842,0
Normal-5820,1
COVID-2771,0
Normal-6038,1
Normal-1470,1
Viral Pneumonia-690,2
COVID-3164,0
Lung_Opacity-5354,3
Normal-9798,1
Lung_Opacity-4107,3
Normal-10145,1
Normal-2637,1
Lung_Opacity-5787,3
Lung_Opacity-731,3
Normal-3772,1
Normal-7641,1
Lung_Opacity-2286,3
Normal-5989,1
Normal-2960,1
Normal-3660,1
Normal-8242,1
Lung_Opacity-3652,3
Lung_Opacity-2537,3
Normal-1689,1
Lung_Opacity-1101,3
COVID-2524,0
Normal-8111,1
Normal-269,1
Normal-4193,1
Normal-4919,1
Lung_Opacity-2162,3
Lung_Opacity-1531,3
Lung_Opacity-931,3
Normal-8025,1
Normal-1354,1
Normal-3110,1
Normal-7209,1
Normal-7420,1
Normal-1941,1
Normal-5572,1
COVID-2435,0
Normal-2958,1
Normal-3388,1
Lung_Opacity-1185,3
Viral Pneumonia-1121,2
Normal-8474,1
Normal-9326,1
Normal-7398,1
Normal-613,1
Normal-4989,1
Normal-9945,1
Lung_Opacity-3280,3
Lung_Opacity-5193,3
Normal-796,1
Lung_Opacity-5939,3
Normal-9220,1
Lung_Opacity-3559,3
Lung_Opacity-2539,3
Lung_Opacity-1508,3
Normal-7018,1
Normal-9271,1
Normal-4834,1
Normal-8399,1
COVID-2051,0
Viral Pneumonia-846,2
COVID-1921,0
Lung_Opacity-278,3
Lung_Opacity-2497,3
Lung_Opacity-5292,3
Normal-504,1
Normal-6867,1
Lung_Opacity-1012,3
Normal-8016,1
Lung_Opacity-2643,3
Lung_Opacity-2524,3
Normal-3015,1
COVID-280,0
Normal-9425,1
Normal-2646,1
Viral Pneumonia-459,2
Lung_Opacity-2433,3
Normal-1514,1
Normal-9216,1
Normal-3573,1
Normal-10070,1
COVID-980,0
Normal-9302,1
COVID-1322,0
Lung_Opacity-4095,3
Normal-1142,1
Lung_Opacity-4602,3
Normal-4302,1
COVID-776,0
Normal-4155,1
COVID-747,0
COVID-1924,0
Normal-7873,1
Normal-7132,1
COVID-2834,0
Lung_Opacity-5340,3
Normal-7120,1
Normal-251,1
COVID-2875,0
Normal-8570,1
Normal-4298,1
Normal-51,1
COVID-372,0
Normal-1356,1
Normal-372,1
Normal-9515,1
COVID-2249,0
Normal-9730,1
Normal-7915,1
Normal-1096,1
Normal-9585,1
Lung_Opacity-308,3
Lung_Opacity-3444,3
COVID-1637,0
COVID-3432,0
Lung_Opacity-633,3
Normal-6679,1
Lung_Opacity-697,3
Normal-8362,1
COVID-1615,0
Normal-4792,1
Lung_Opacity-5613,3
COVID-2264,0
Viral Pneumonia-454,2
Normal-4347,1
Normal-6304,1
Normal-9951,1
Normal-1369,1
Normal-10063,1
COVID-3016,0
Normal-2447,1
Lung_Opacity-3789,3
Normal-7576,1
Lung_Opacity-552,3
COVID-580,0
Viral Pneumonia-266,2
Viral Pneumonia-1290,2
COVID-2450,0
Normal-245,1
COVID-1777,0
Lung_Opacity-312,3
COVID-3595,0
Normal-2384,1
Lung_Opacity-3364,3
Lung_Opacity-5183,3
Lung_Opacity-1398,3
Lung_Opacity-2755,3
